label,isCode,wordsLen,ZeroLen,OneLen,WordsWithSameSizeLen,TotalWordsSize,TotalDiffRatio,TotalDistancedeLevenshtein,TotalSimilarityendstart
"['01', '011110', '110', '1001111', '101111']",1,5,7,17,2,24,5.881196581196582,33,28
"['10001', '010', '011']",1,3,6,5,2,11,1.6666666666666665,7,5
"['11001', '1']",1,2,2,4,0,6,0.3333333333333333,4,4
"['1001101', '0000010', '1111']",1,3,9,9,2,18,1.2987012987012987,13,4
['111'],1,1,0,3,0,3,0,0,0
"['1100011', '101011', '001110', '1']",1,4,8,12,2,20,2.8727106227106227,25,15
"['01', '1']",1,2,1,2,0,3,0.6666666666666666,1,2
['011'],1,1,1,2,0,3,0,0,0
"['001', '0101101', '1010', '001110', '100111', '0101']",1,6,14,16,4,30,9.470712620712622,41,39
"['010', '001', '0101110', '01010']",1,4,10,8,2,18,3.75,16,29
"['101', '0110', '000']",1,3,6,4,2,10,1.476190476190476,7,4
"['01', '01010']",1,2,4,3,0,7,0.5714285714285714,3,3
['1001'],1,1,2,2,0,4,0,0,0
['1'],1,1,0,1,0,1,0,0,0
"['010', '10']",1,2,3,2,0,5,0.8,1,3
"['101011', '110']",1,2,3,6,0,9,0.4444444444444444,3,3
"['0', '11']",1,2,1,2,0,3,0.0,2,0
['1100101'],1,1,3,4,0,7,0,0,0
['11'],1,1,0,2,0,2,0,0,0
"['010100', '01101', '0011', '0001', '0110', '0100']",1,6,16,11,4,27,9.743939393939394,31,54
"['100', '000101', '10', '0111', '01001']",1,5,11,9,0,20,5.678860028860028,27,24
"['1000100', '01', '01101', '0011', '10001', '1100']",1,6,15,12,4,27,8.578210678210677,44,43
"['100', '00101']",1,2,5,3,0,8,0.5,3,3
"['11110', '00101']",1,2,4,6,2,10,0.4,4,2
"['001111', '11', '00111', '1100001', '10110']",1,5,10,15,2,25,5.603385503385503,34,36
"['0100001', '1110101', '10']",1,3,8,8,2,16,1.4603174603174602,13,7
['01'],1,1,1,1,0,2,0,0,0
"['0011101', '1', '001010', '000', '1000011', '0101']",1,6,16,12,2,28,7.652580752580753,54,34
['110'],1,1,1,2,0,3,0,0,0
"['0011', '110', '111011']",1,3,4,9,0,13,1.838095238095238,9,12
"['11', '00', '100000', '0111', '0100']",1,5,11,7,4,18,4.05,31,26
['0'],1,1,1,0,0,1,0,0,0
"['1011', '000100', '1', '1010101']",1,4,9,9,0,18,2.6783716283716283,24,14
['00101'],1,1,3,2,0,5,0,0,0
['10'],1,1,1,1,0,2,0,0,0
['0111011'],1,1,2,5,0,7,0,0,0
"['101', '0010', '1000', '1']",1,4,7,5,2,12,3.192857142857143,14,12
"['0', '01001', '00010']",1,3,8,3,2,11,1.2666666666666666,10,8
"['11110', '000001']",1,2,6,5,0,11,0.18181818181818182,5,2
['0110100'],1,1,4,3,0,7,0,0,0
"['100', '11100', '00001']",1,3,8,5,2,13,1.65,9,10
"['001111', '001011', '1']",1,3,5,8,2,13,1.4047619047619047,11,9
"['0110101', '01', '1110', '1100111']",1,4,7,13,2,20,2.8845598845598843,23,17
['00'],1,1,2,0,0,2,0,0,0
"['0100000', '1000101', '011', '0011', '1101100', '100010', '000001', '000000', '11111']",1,9,31,20,6,51,19.047263847263846,121,114
"['000110', '0010', '010101', '00']",1,4,12,6,2,18,3.7333333333333334,17,24
['111011'],1,1,1,5,0,6,0,0,0
"['0', '0100000', '101010', '0110', '1111010', '0110110']",1,6,17,15,3,32,7.368181818181818,57,57
"['1011', '1', '101101']",1,3,3,8,0,11,1.4857142857142858,10,15
['000010'],1,1,5,1,0,6,0,0,0
"['011', '00011']",1,2,4,4,0,8,0.75,2,4
"['011001', '000', '11']",1,3,6,5,0,11,0.9444444444444444,10,4
['0110000'],1,1,5,2,0,7,0,0,0
"['0111010', '1111011', '11']",1,3,4,12,2,16,1.6031746031746033,12,8
"['11', '101', '0001', '101000', '1010101', '1011101', '0001000']",1,7,19,17,3,36,11.648074148074148,71,81
['01111'],1,1,1,4,0,5,0,0,0
"['010', '1100', '1']",1,3,4,4,0,8,1.4714285714285715,7,4
"['0000111', '100000', '11']",1,3,9,6,0,15,1.3098290598290598,14,11
"['11000', '100', '100010', '1101100', '0000', '0111101']",1,6,18,14,2,32,8.57047952047952,48,46
"['1000', '110', '1']",1,3,4,4,0,8,1.4714285714285715,7,6
"['1111100', '111011']",1,2,3,10,0,13,0.6153846153846154,3,5
"['1011', '1010', '1100', '011']",1,4,6,9,3,15,4.0,12,18
"['01101', '11110', '1001', '1011000']",1,4,9,12,2,21,3.3676767676767674,18,14
['1101'],1,1,1,3,0,4,0,0,0
"['1010', '1']",1,2,2,3,0,5,0.4,3,2
"['100101', '010111', '1000001']",1,3,10,9,2,19,1.7435897435897436,9,11
"['10111', '00000']",1,2,6,4,2,10,0.2,4,0
['1111011'],1,1,1,6,0,7,0,0,0
"['11', '10100', '010111', '0101100', '110']",1,5,10,13,0,23,6.008336108336108,30,29
"['1110111', '0101111', '11', '101010', '1111000', '110101']",1,6,11,24,5,35,8.86996336996337,54,61
"['0001', '001', '1100', '01011']",1,4,9,7,2,16,3.317460317460317,14,18
"['1110011', '01110']",1,2,4,8,0,12,0.6666666666666666,4,0
"['0011', '01', '1']",1,3,3,4,0,7,1.7333333333333334,6,6
"['0', '111']",1,2,1,3,0,4,0.0,3,0
"['1010001', '010', '010101', '10011']",1,4,11,10,0,21,3.7480186480186477,18,14
"['1', '000']",1,2,3,1,0,4,0.0,3,0
"['00', '011']",1,2,3,2,0,5,0.4,2,2
"['010100', '0', '1011001', '10011', '01011']",1,5,12,12,2,24,5.377672327672328,36,22
"['101010', '00', '100000', '1']",1,4,10,5,2,15,2.238095238095238,22,13
"['0011', '0001', '100001', '001000']",1,4,14,6,4,20,4.016666666666667,15,20
"['0011001', '011']",1,2,5,5,0,10,0.6,4,2
"['1000011', '01000', '0111100']",1,3,11,8,2,19,1.7619047619047619,13,6
"['0111111', '001', '010111', '11']",1,4,5,13,0,18,2.804273504273504,21,19
"['0111010', '1', '0000100', '110100', '01010']",1,5,15,11,2,26,5.302364302364302,38,28
"['110', '1001111', '11']",1,3,3,9,0,12,1.6444444444444444,11,13
"['0101', '110011', '00', '10', '0111101']",1,5,9,12,2,21,5.6648795648795645,33,21
"['0001', '0101110', '1']",1,3,6,6,0,12,1.0136363636363637,13,4
"['01', '011100']",1,2,4,4,0,8,0.5,4,3
"['11001', '110001']",1,2,5,6,0,11,0.9090909090909091,1,9
"['0001111', '011010', '011', '0000']",1,4,11,9,0,20,3.313220113220113,21,21
"['1001', '1', '110111']",1,3,3,8,0,11,1.2857142857142856,11,12
['0110'],1,1,2,2,0,4,0,0,0
"['11001', '01', '1', '0100010', '0000']",1,5,12,7,0,19,4.437590187590187,35,18
"['0001011', '00', '0101110']",1,3,9,7,2,16,1.6031746031746033,13,10
"['0110000', '11000', '1', '0100']",1,4,11,6,0,17,3.2106060606060605,20,15
"['0101110', '0101', '0100111']",1,3,8,10,2,18,2.311688311688312,8,13
"['0', '1111111']",1,2,1,7,0,8,0.0,7,0
"['11001', '010011', '001']",1,3,7,7,0,14,2.143939393939394,7,9
"['00100', '11010', '0011111', '11']",1,4,8,11,2,19,2.9015873015873015,23,18
"['1000000', '111000', '01100', '1110']",1,4,13,9,0,22,3.672960372960373,18,19
"['01', '0111001', '1100111', '011010', '11100']",1,5,11,16,2,27,6.000777000777001,37,26
"['0', '11011']",1,2,2,4,0,6,0.3333333333333333,4,0
"['101', '1110011', '10011']",1,3,5,10,0,15,2.1833333333333336,8,18
['001000'],1,1,5,1,0,6,0,0,0
"['0', '01', '1111']",1,3,2,5,0,7,1.0,8,4
"['010100', '0110111', '011', '11101', '001010']",1,5,12,15,2,27,6.255011655011655,30,27
['0010'],1,1,3,1,0,4,0,0,0
"['011101', '0010', '1001010', '0']",1,4,10,8,0,18,2.8783716283716285,24,16
"['011', '101010', '1001100', '100010', '1000', '11101', '0100001', '0000111']",1,8,25,20,5,45,17.165512265512266,90,78
"['01101', '1000101', '1101110', '10100', '11111', '001001']",1,6,15,20,5,35,8.720379620379621,47,40
"['1', '1011111']",1,2,1,7,0,8,0.25,6,4
"['1010000', '010000', '110']",1,3,11,5,0,16,1.7675213675213675,9,11
['0101001'],1,1,4,3,0,7,0,0,0
"['00111', '101']",1,2,3,5,0,8,0.5,3,2
"['1010110', '10010']",1,2,6,6,0,12,0.6666666666666666,2,4
"['111', '110100']",1,2,3,6,0,9,0.6666666666666666,3,4
['0100100'],1,1,5,2,0,7,0,0,0
"['110110', '10', '0100']",1,3,6,6,0,12,1.7666666666666666,9,7
"['11110', '010', '101101', '11000', '10000', '10']",1,6,13,13,3,26,8.7991341991342,40,37
"['00', '001110', '11']",1,3,5,5,2,10,1.0,10,6
"['010', '100', '001']",1,3,6,3,3,9,2.0,6,7
"['0', '101', '11']",1,3,2,4,0,6,1.3,5,4
"['0110001', '0111']",1,2,5,6,0,11,0.7272727272727273,3,4
"['001', '00001']",1,2,6,2,0,8,0.75,2,5
['1100001'],1,1,4,3,0,7,0,0,0
"['0000', '00100', '1111110', '0100']",1,4,12,8,2,20,3.1565656565656566,19,28
"['0111010', '1110000', '101', '0011', '00']",1,5,12,11,2,23,5.1503607503607505,37,24
"['0010', '110', '11']",1,3,4,5,0,9,1.7047619047619047,6,7
"['01', '100000', '01100']",1,3,9,4,0,13,1.3668831168831168,11,8
"['110011', '00100', '1100011']",1,3,9,9,0,18,1.9685314685314685,10,12
"['0010', '0011101', '00', '0101', '0110110']",1,5,13,11,4,24,6.413780663780663,31,36
"['00', '11100', '11']",1,3,4,5,2,9,1.1428571428571428,8,8
"['0001', '0010']",1,2,6,2,2,8,0.75,2,3
"['1111100', '11110']",1,2,3,9,0,12,0.8333333333333334,2,5
"['001100', '100', '0001110']",1,3,10,6,0,16,1.835897435897436,10,14
"['00100', '0101']",1,2,6,3,0,9,0.6666666666666666,2,2
['0111100'],1,1,3,4,0,7,0,0,0
"['110110', '001000', '100', '10', '10011', '1011', '111000', '101111']",1,8,17,21,4,38,16.97164502164502,84,89
"['101010', '110001']",1,2,6,6,2,12,0.6666666666666666,3,2
"['101100', '11110', '1110000', '0011000', '1010101', '001110', '10011', '1100']",1,8,23,24,7,47,18.066233766233765,81,85
['11101'],1,1,1,4,0,5,0,0,0
"['0', '11110', '000011']",1,3,6,6,0,12,0.9826839826839826,14,7
"['1000', '0110001']",1,2,7,4,0,11,0.7272727272727273,3,2
"['110111', '1000', '011', '10']",1,4,6,9,0,15,2.919047619047619,18,15
"['11110', '00101', '0111']",1,3,5,9,2,14,1.7333333333333334,8,8
"['101010', '110']",1,2,4,5,0,9,0.4444444444444444,3,3
"['110000', '111111', '1011000', '0']",1,4,9,11,2,20,1.945970695970696,27,14
"['110', '0001000', '11']",1,3,7,5,0,12,1.4222222222222223,12,6
"['01', '00', '0110']",1,3,5,3,2,8,1.8333333333333333,5,9
"['01', '111', '100', '110100', '000', '00010']",1,6,13,9,3,22,7.094660894660895,40,42
"['01', '00', '100']",1,3,5,2,2,7,1.7000000000000002,4,8
"['00', '11101', '0100111', '11']",1,4,6,10,2,16,2.246031746031746,23,16
['000000'],1,1,6,0,0,6,0,0,0
"['000110', '11010', '001', '101010', '11000', '111001']",1,6,16,15,5,31,9.411111111111111,42,43
"['011', '1100010', '01000', '111111', '00', '101111']",1,6,12,17,2,29,6.478848928848929,57,42
['1101010'],1,1,3,4,0,7,0,0,0
"['0', '011', '011101', '111110', '0111']",1,5,6,14,2,20,5.506349206349206,31,31
"['0010110', '1', '01111', '001010', '0000', '1011011']",1,6,15,15,2,30,7.363714063714064,54,36
"['0110100', '00000', '101011', '0001', '100', '101110']",1,6,18,13,2,31,7.9469530469530465,48,44
"['101', '001', '110']",1,3,4,5,3,9,1.6666666666666665,6,7
"['0110111', '001000', '101', '1110100', '110', '0111110']",1,6,14,19,5,33,8.208302808302808,54,38
"['11000', '10001', '10']",1,3,7,5,2,12,1.9428571428571428,8,7
['0000011'],1,1,5,2,0,7,0,0,0
"['01100', '101', '00', '1110']",1,4,7,7,0,14,3.0428571428571427,15,12
"['1000111', '1', '0001000']",1,3,9,6,2,15,1.0714285714285714,16,4
"['00', '110', '10', '0010000']",1,4,10,4,2,14,2.988888888888889,19,19
"['01101', '001', '00', '10', '1110']",1,5,8,8,2,16,5.295238095238095,22,24
"['100110', '00101']",1,2,6,5,0,11,0.7272727272727273,3,2
"['011', '00000', '1111', '10100', '11101', '11100']",1,6,12,15,4,27,7.521428571428571,39,49
"['11011', '1111101', '011', '0100110', '00111', '1000', '10010', '01000']",1,8,19,22,6,41,16.348051948051946,86,76
"['00110', '111101']",1,2,4,7,0,11,0.5454545454545454,3,0
"['00100', '1', '0000']",1,3,8,2,0,10,1.222222222222222,9,8
"['00101', '1101100']",1,2,6,6,0,12,0.5,4,3
"['0101110', '011101', '1010', '00', '011001']",1,5,12,13,2,25,6.074514374514375,33,28
['10111'],1,1,1,4,0,5,0,0,0
['00110'],1,1,3,2,0,5,0,0,0
"['101', '1100', '10']",1,3,4,5,0,9,2.038095238095238,5,7
"['110010', '11', '00111', '00001', '00110', '10011', '000']",1,7,17,14,4,31,12.23030303030303,57,61
"['01111', '0010010', '0110']",1,3,8,8,0,16,1.893939393939394,9,11
"['0110', '1000', '000', '0100011', '110', '1001011']",1,6,16,12,6,28,8.95021645021645,44,41
"['001101', '101101', '10111', '1001', '011110']",1,5,10,17,3,27,6.996969696969697,24,31
"['01', '0010', '1010', '10010', '000111']",1,5,12,9,2,21,6.477994227994228,24,29
"['110101', '0101000', '001', '1111']",1,4,9,11,0,20,2.909179709179709,20,14
"['1', '101111']",1,2,1,6,0,7,0.2857142857142857,5,4
['11111'],1,1,0,5,0,5,0,0,0
"['011', '00100', '00110', '0000011', '11111', '0101', '01110']",1,7,17,17,4,34,12.347041847041847,59,60
"['011111', '000111', '0100']",1,3,7,9,2,16,1.4666666666666668,10,10
['11110'],1,1,1,4,0,5,0,0,0
"['010001', '1']",1,2,4,3,0,7,0.2857142857142857,5,2
"['00110', '11111', '110001', '1101110']",1,4,8,15,2,23,3.272960372960373,18,18
"['0010', '0101111', '0001110', '10', '101110']",1,5,12,14,2,26,6.181030081030081,32,33
"['11011', '010', '1001', '1111011']",1,4,6,13,0,19,3.516883116883117,19,19
"['01', '10011']",1,2,3,4,0,7,0.5714285714285714,3,2
"['001', '0011101', '0100111', '01111', '000', '0101', '1110']",1,7,15,18,6,33,12.105844155844157,60,62
"['1', '0100']",1,2,3,2,0,5,0.4,3,0
"['0110', '0100110']",1,2,6,5,0,11,0.7272727272727273,3,8
['11010'],1,1,2,3,0,5,0,0,0
['0000001'],1,1,6,1,0,7,0,0,0
"['00100', '111111', '1100']",1,3,6,9,0,15,1.2484848484848485,11,9
